,Topic,Words,Frequency,Class
0,-1,"one, argue, paper, properties, knowledge",197,Philosophical Quarterly
1,0,"rights, normative, value, justice, argue",167,Philosophical Quarterly
2,1,"belief, justification, epistemic, evidence, beliefs",24,Philosophical Quarterly
3,2,"mathematical objects, abstraction, objects, mathematicians, structuralists",22,Philosophical Quarterly
4,3,"63, names, reference, philosophy, 2013 Quarterly",23,Philosophical Quarterly
5,4,"normative, desire, internalism, requirements, ought",30,Philosophical Quarterly
6,5,"Clarks argument, sense functionalism, common sense, common, functionalism",4,Philosophical Quarterly
7,6,"modalism, possible worlds, modality, essentialism, impossible worlds",15,Philosophical Quarterly
8,7,"decision, deliberation, decision theory, deliberation compatibilism, rational choice",4,Philosophical Quarterly
9,8,"metaphysical indeterminacy, extended simples, indeterminacy, Humeanism, particles",7,Philosophical Quarterly
10,9,"time, temporal, temporal reality, tenseless, conclusion temporal",9,Philosophical Quarterly
11,10,"emergence, collapse problem, biological, species, biology",14,Philosophical Quarterly
12,11,"metalinguistic, linguistic, speaker, metalinguistic disagreement, meaning meaning",7,Philosophical Quarterly
13,12,"scientific, collective scientific, level justification, non experts, knowledge",5,Philosophical Quarterly
14,13,"causation, causal, causal argument, downwards causation, emergent downwards",5,Philosophical Quarterly
15,14,"contextualism, invariantism, sensitive invariantism, knowledge, subject sensitive",18,Philosophical Quarterly
16,15,"underdetermination, Putnams model, scientific, replaces Putnams, model theory",4,Philosophical Quarterly
17,16,"perceptual, visual, perception, visible figure, object",16,Philosophical Quarterly
18,17,"logic, genuinely factual, rules logic, tonk, proof theoretic",6,Philosophical Quarterly
19,18,"parts, Composition, Extensionality, objects, mereology",19,Philosophical Quarterly
20,19,"responsibility, moral responsibility, blameworthiness, ignorance, blameworthy",16,Philosophical Quarterly
21,20,"emotions, emotion, pride, evaluative, care",22,Philosophical Quarterly
22,21,"physicalism, Revelation, Cs premises, phenomenal properties, dualism",6,Philosophical Quarterly
23,22,"vagueness, vague, vague identity, ontically vague, inexact knowledge",7,Philosophical Quarterly
24,23,"rape, white ignorance, ignorance, sexual, racial",6,Philosophical Quarterly
25,24,"colour, colourings, qualia, perceptual, referent",9,Philosophical Quarterly
26,25,"personal identity, continuity, psychological continuity, Parﬁt, one relation",11,Philosophical Quarterly
27,26,"fictional, fiction, fictional realism, fictional objects, imaginative resistance",10,Philosophical Quarterly
28,27,"knowledge, ignore evidence, believed tradition, counter closure, permissibility version",7,Philosophical Quarterly
29,28,"disagreement, conciliationism, conciliatory views, conciliatory, peers",4,Philosophical Quarterly
30,29,"art, artistic, artworks, artistic value, aesthetic value",24,Philosophical Quarterly
31,30,"God, theology, natural theology, theism, Richard Swinburne",10,Philosophical Quarterly
32,31,"libertarianism, compatibilism, indeterminism, rollback, free skepticism",8,Philosophical Quarterly
33,32,"Hume, induction, religious belief, argument, Religion",12,Philosophical Quarterly
34,33,"Wittgenstein, Teichmann, Kripkes sceptical, Conants, middle period",11,Philosophical Quarterly
35,34,"Kant, Kants, freely beautiful, appearances things, Deduction",8,Philosophical Quarterly
36,35,"perceptual, perceptual experiences, motivations view, belief, perceptual belief",3,Philosophical Quarterly
37,36,"conditionals, doxastic dependence, indicative conditionals, strict implication, Goodmans paradox",5,Philosophical Quarterly
38,37,"ideological, ideological kinds, parsimony ought, account ideological, endorse principle",3,Philosophical Quarterly
39,38,"externalism, externalist, social externalism, Sawyer, thought experiments",6,Philosophical Quarterly
40,39,"truth, paradoxes, liar paradox, theory truth, treatises paradoxes",5,Philosophical Quarterly
41,40,"causal powers, powers, anomalism mental, anomalism, inheritance",3,Philosophical Quarterly
42,41,"Plato, Aquinas, Republic, Socrates, Aristotelian",10,Philosophical Quarterly
43,43,"virtue, virtue epistemology, virtues, aptness, intellectual virtue",7,Philosophical Quarterly
44,44,"skepticism, scepticism, sceptic, sceptical challenges, Epistemic Angst",7,Philosophical Quarterly
45,45,"collectives, Reids epistemology, moral self, robots, hold robots",4,Philosophical Quarterly
46,47,"laws, laws nature, necessitarianism, metaphysically, metaphysically necessary",5,Philosophical Quarterly
47,48,"knowledge, skills, knowledge wh, intelligent depends, part whether",2,Philosophical Quarterly
48,50,"oriented, intuitions, expertise, research oriented, Centrality",3,Philosophical Quarterly
49,51,"slingshot, theories facts, propositions, extensional connectives, However Neale",1,Philosophical Quarterly
50,52,"temporal parts, perdurance, temporal, objects, endurantism",3,Philosophical Quarterly
51,53,"testimony, injustice, hearers, reductionism, testimonial contexts",4,Philosophical Quarterly
52,54,"joint action, shared agency, development, Gricean communication, planning agents",5,Philosophical Quarterly
53,55,"intention, Agential Knowledge, intentions, Agential, authority intention",6,Philosophical Quarterly
54,56,"assertion, assertions, existentially known, knowledge, importance role",3,Philosophical Quarterly
55,57,"deflationism, deflationists, deflationary, theories truth, semantic deflationism",10,Philosophical Quarterly
56,58,"conceptual, content desiderata, intentionality cognitive, conceptual analysis, concepts",3,Philosophical Quarterly
57,59,"animals, harm thesis, posthumous, future bias, Epicurus",6,Philosophical Quarterly
58,60,"memory, remembering, reliabilism, remembering entail, Preservationism",3,Philosophical Quarterly
59,61,"disposition, dispositional, conditional, analysis dispositions, manifestation",11,Philosophical Quarterly
60,62,"attitudes, vocabulary, inference, express independence, compatible agents",4,Philosophical Quarterly
61,63,"realist, hallucination, naïve realist, experiences, naïve realism",4,Philosophical Quarterly
62,64,"Descartes, corpuscular mechanics, physiology, Descartess metaphysics, Descartess",2,Philosophical Quarterly
63,65,"conditionals, lie, linguistic rationality, structural rationality, deception",2,Philosophical Quarterly
64,66,"intelligibility, Spinozas, Leibnizs, Leibniz gave, ontological independence",5,Philosophical Quarterly
65,67,"self knowledge, knowledge, introspective, introspection, individualist",7,Philosophical Quarterly
66,68,"superinternality thesis, superinternality, discuss, ground theoretic, pressure superinternalists",2,Philosophical Quarterly
67,70,"tropes, physical tropes, physical world, derived, including sensible",1,Philosophical Quarterly
68,71,"affective phenomenology, representationalism, affective, qualia theory, phenomenology",6,Philosophical Quarterly
69,72,"doomsday argument, doomsday, Beauty, Sleeping Beauty, argument",4,Philosophical Quarterly
70,73,"may chancy, chancy matter, implies sentences, actuality gives, happen On",2,Philosophical Quarterly
71,75,"nondescriptive sentences, inferentially irrelevant, validity apparently, suggestion helpful, designated valued",1,Philosophical Quarterly
72,76,"rigidity, kind terms, classification cum, natural kind, term",3,Philosophical Quarterly
73,77,"modally inverted, powers, necessitation, pressing interpretation, determinate demonstrate",2,Philosophical Quarterly
74,78,"qualia epiphenomenalism, qualia, epiphenomenalism, processive, occurrent states",4,Philosophical Quarterly
75,79,"Frege, Bedeutung, confused thought, vague predicates, analysis",6,Philosophical Quarterly
76,80,"modals, epistemic modals, epistemic, expressivism, operator might",4,Philosophical Quarterly
77,81,"luck, belief true, anti luck, epistemic luck, luck epistemology",2,Philosophical Quarterly
78,82,"Moores Proof, Pryors readings, indignation sympathetic, Moreover Moore, reconstruction argue",2,Philosophical Quarterly
79,83,"truthmakers, existentials, truthmaker theory, Truthmaker Maximalism, Truthmaker one",3,Philosophical Quarterly
80,84,"Frankfurtian, Speaks, responsibility, cases, moral responsibility",3,Philosophical Quarterly
81,85,"bodily, bodily action, bodily awareness, bodily movements, awareness",4,Philosophical Quarterly
82,86,"manipulated agent, manipulated, manipulators, standing blame, best explanation",1,Philosophical Quarterly
83,87,"thoughts, self consciousness, consciousness, plausible theory, immune error",5,Philosophical Quarterly
84,88,"Quine, Quines, question mark, distinction, Quines philosophy",3,Philosophical Quarterly
85,-1,"truth, argue, theory, knowledge, two",374,Analysis
86,0,"normative, morality, war, book, theory",131,Analysis
87,1,"epistemic, belief, evidence, accuracy, Bayesian",40,Analysis
88,2,"Hahn, set theory, structuralism, numbers, structure",16,Analysis
89,3,"Philosophy, proper names, book, Machery, referential",76,Analysis
90,4,"rationality, normative, ought, desires, Humean",25,Analysis
91,5,"cognitive, cognition, extended cognition, cognitive processes, mind",11,Analysis
92,6,"modal, possible worlds, modality, modal realism, wallet",30,Analysis
93,7,"decision theory, causal decision, expected utility, mixed, theory",19,Analysis
94,8,"quantum, Everettian, Sleeping Beauty, quantum mechanics, halfer",8,Analysis
95,9,"time, temporal, past, spotlight, presentism",44,Analysis
96,10,"emergence, biology, field, chapters, philosophy biology",8,Analysis
97,11,"context, poetry, Romdenh Romluc, indexicals, utterance",10,Analysis
98,12,"data, severity, academic spin, spin offs, hangover",3,Analysis
99,13,"causal, causation, barometer, Causation, value causal",11,Analysis
100,14,"contextualism, knowledge, words concepts, Contextualism, factivity",12,Analysis
101,15,"scientific, constructive empiricist, empiricist, theories, scientific theories",7,Analysis
102,16,"perceptual, perception, images, unconscious perception, visual objectual",12,Analysis
103,17,"classical, rules, logic, Tennant, logical constants",9,Analysis
104,18,"composition, simples, proper parts, mereological, spatially extended",12,Analysis
105,19,"blame, responsibility, moral responsibility, standing blame, responsible",7,Analysis
106,20,"emotions, sentiment, care, ethics, empathy",8,Analysis
107,21,"physicalism, consciousness, physics, phenomenal properties, protophenomenal properties",13,Analysis
108,22,"vagueness, sorites paradox, indeterminacy, expression, borderline cases",13,Analysis
109,23,"pornography, women, Saul, works pornography, illocutionary",7,Analysis
110,24,"colour, blue, chip, Tye, hen",13,Analysis
111,25,"identity, personal identity, Olson, simple view, animalism",10,Analysis
112,26,"fiction, fictional characters, characters, Everett, Gendler",11,Analysis
113,27,"knowledge, closure, epistemic closure, KK principle, condition",15,Analysis
114,28,"revise belief, abortion, informed impartial, intelligent informed, belief discovering",2,Analysis
115,29,"art, aesthetic, Nguyen, Art, theory art",13,Analysis
116,30,"God, Plantinga, theism, religion, Level",17,Analysis
117,31,"Consequence Argument, determinism, one ever, determinism typically, versions Consequence",6,Analysis
118,32,"rate fallacy, base rate, realistic hope, fails realistic, representation probabilistic",1,Analysis
119,33,"Wittgenstein, Winchs, sketch argument, Ishiguro, linguistic idealism",8,Analysis
120,35,"perception, perceptual, Rationality Perception, Rationality, beliefs",9,Analysis
121,36,"conditionals, subjunctive, indicative, Ramsey, supposition",10,Analysis
122,37,"ontology, ontological, ordinary objects, metaphysics, questions",14,Analysis
123,38,"externalism, internalism, content externalism, Cartesian, emerged",12,Analysis
124,39,"paradoxes, liar, truth, sentences, revenge",20,Analysis
125,40,"causation, autonomy approach, downward causation, causal, regularity",4,Analysis
126,41,"scantiness, scantiness capacities, language Joseph, miserable scantiness, compare miserable",1,Analysis
127,43,"Virtue Epistemology, Virtue, Epistemology, intellectual, animal knowledge",3,Analysis
128,44,"external world, scepticism, skepticism, possible questions, civilization",7,Analysis
129,45,"agile, companies, teamwork, epistemology, British",3,Analysis
130,46,"counterfactuals, Lewiss account, fact held, intuitions examples, approach counterfactuals",4,Analysis
131,47,"displacements, meta laws, relativity, Lewiss thesis, order laws",4,Analysis
132,48,"knowledge, intellectualism, skill, primary way, Stanley Williamson",5,Analysis
133,50,"method cases, philosophical, philosophy, philosophers, corpus",6,Analysis
134,51,"propositions, structured, Russell, Propositions, constituents",9,Analysis
135,52,"temporal, four, temporal parts, dimensionalism, four dimensionalism",15,Analysis
136,53,"testimony, supervene individualistic, linguistic norms, individualistic facts, knowledge testimony",7,Analysis
137,55,"basic action, actions, Di Nucci, indexical, View",7,Analysis
138,56,"norm, knowledge norm, assertions, express knowledge, assertion express",10,Analysis
139,57,"truthmaker, truthmaker principle, theory truth, Beall, mere abbreviation",4,Analysis
140,58,"concepts, conceptual analysis, engineering, conceptual engineering, analysis",6,Analysis
141,59,"grief, animals, Prerogative, Our Stories, life",7,Analysis
142,60,"memory, Bernecker, remembering, memories, nostalgia",5,Analysis
143,61,"conception dispositionality, realist conception, Martins, dispositionality, dispositional",3,Analysis
144,62,"attitudes, propositional attitudes, Jones, Clark Kent, ascriptions",7,Analysis
145,63,"mind independent, vase flowers, objects features, naïve realism, independent objects",5,Analysis
146,65,"lying, deceive, deception, lie, self deception",12,Analysis
147,66,"Spinoza, Substances problem, Problem Other, non divine, divine substance",1,Analysis
148,67,"knowledge attitudes, directed question, singular thought, attitudes, epistemically acquainted",4,Analysis
149,68,"grounding, ground, accepted principles, follows commonly, logic ground",7,Analysis
150,69,"toy models, credibility thesis, credibility, problem imagination, expected competently",1,Analysis
151,70,"metaphysics, metaphysical theorizing, metaphysical, scientific metaphysics, theorizing",4,Analysis
152,71,"boredom, unpleasant, Desire Account, pain terms, finger",7,Analysis
153,72,"Sleeping, Sleeping Beauty, hangover, probability, Beauty problem",13,Analysis
154,73,"probabilities, relative frequencies, indefinite probabilities, female, probability human",4,Analysis
155,74,"coherence, coherentism, Stoneham argument, probabilistic, reductio",5,Analysis
156,75,"knowability, KP, Fitchs, knowable, Fitchs argument",10,Analysis
157,76,"kind terms, general terms, rigidity, phenomenon terms, term rigidity",2,Analysis
158,77,"dispositional, Ellis, dispositional essentialism, property, essentialism",9,Analysis
159,78,"consciousness, TIP, Block, ness, phenomenal consciousness",4,Analysis
160,79,"violates Cantor, discussed intermittently, distinct distinct, postulating many, show thoughts",2,Analysis
161,80,"presupposition, presupposition trigger, presupposition testing, claims proposition, falsity easily",2,Analysis
162,82,"Moore, believing believe, justify believing, many contemporary, justifies believing",7,Analysis
163,83,"Milne, maximalism, truthmaker principle, Truthmaker Maximalism, truth truthmaker",10,Analysis
164,84,"Frankfurt, PAP, could done, otherwise, clear Jones",4,Analysis
165,85,"Nanays Between, review Bence, Between Action, Action Perception, Perception",1,Analysis
166,86,"Ernie, manipulation, moral responsibility, compatibilism, acting freely",5,Analysis
167,87,"really nothing, really, first person, options orthodox, ordinary really",2,Analysis
168,88,"analyticity, epistemic analyticity, analyticity long, embracing semantic, analyticity undermined",1,Analysis
169,-1,"truth, theory, argue, paper, view",239,Mind
170,0,"normative, ethics, argue, justice, ethical",79,Mind
171,1,"belief, evidence, epistemic, credence, Bayesian",33,Mind
172,2,"mathematical, mathematics, Frege, mathematical explanations, explanatory",28,Mind
173,3,"names, great writer, referential, writer, Philosophy",48,Mind
174,4,"rationality, ought, desires, practical, rational requirements",22,Mind
175,5,"cognitive, computational, passivity, cognition, mind",8,Mind
176,6,"modality, possible worlds, modal logic, semantics, metaphysical",23,Mind
177,7,"decision theory, game, theory, choice, value",30,Mind
178,8,"quantum, Lewis phenomenon, duplication main, recombination analysis, classifies certain",1,Mind
179,9,"growing block, temporal, individuation argument, present, regions",6,Mind
180,10,"emergence, discussions meta, emergence relation, meta ontology, emergentism",6,Mind
181,11,"demonstratives, semantic, utterance, language, expressions",12,Mind
182,12,"JSTOR, work scholarly, archives, scholarly community, information JSTOR",1,Mind
183,13,"loops, causal, causal loops, causation, causes",5,Mind
184,14,"contextualism, contextualist, versions foundationalism, counterexamples PEC, Presuppositional Epistemic",5,Mind
185,15,"Predictionism, Strong Predictionism, data deliberately, grasp theory, defending scientific",1,Mind
186,16,"perceptual, shape experience, perceptual experience, objects, perception",5,Mind
187,17,"intuitionistic, rules, classical logic, connectives, logics",16,Mind
188,18,"Problem Universals, objects, composition, regionalism, particulars",8,Mind
189,19,"Blameworthy Rightness, Ways Blameworthy, viii 227, Wrongness Responsibility, Blameworthy",2,Mind
190,20,"emotions, emotion, love, affective, expressions emotion",7,Mind
191,21,"concept strategy, phenomenal concept, conceivability, physicalism, identities",6,Mind
192,22,"vagueness, order vagueness, Hyde, borderline cases, predicates",18,Mind
193,23,"normic, misogyny, statistical evidence, bias, feminist",11,Mind
194,24,"colour, indiscriminability, unknowable colour, colour facts, transitivity",7,Mind
195,25,"identity, personal identity, qua objects, practical concerns, social qua",12,Mind
196,26,"fictionalist, arguments, deflationism, fictionalism, fictional",3,Mind
197,27,"epistemic closure, knowledge, knows, Knower Paradox, Closure MIND",7,Mind
198,28,"disagreement, peer disagreement, compromise, metaepistemic, explanatory challenges",5,Mind
199,29,"aesthetic, aesthetic appreciation, point, art, aesthetic object",3,Mind
200,30,"God, religious music, minor Mass, atheist, sceptical conclusion",7,Mind
201,31,"agent causal, causal theory, libertarianism, causal, Humean compatibilism",6,Mind
202,32,"Hume, Humes, New Hume, causal science, Hume interpretation",5,Mind
203,33,"Wittgenstein, understanding rule, Kripke Wittgenstein, private, philosophy",6,Mind
204,34,"Kant, idealism, pure general, form idealism, general logic",5,Mind
205,35,"perceptual, experiences, beliefs, perceptual experience, rational source",5,Mind
206,36,"conditional, indicative conditionals, Ramsey, house painted, If house",16,Mind
207,37,"atoms arranged, exist atoms, exist, arranged statuewise, exists statue",4,Mind
208,38,"internalism, externalism, basis thought, thought experiments, epistemic internalism",5,Mind
209,39,"paradoxes, Liar, revenge, Chain Paradoxes, different pathologies",4,Mind
210,40,"counterpart theory, counterpart, constitution identity, realization, physicalism",1,Mind
211,41,"Plato, teaching philosophy, student, Cabinet, manuscripts lectures",5,Mind
212,44,"vat argument, transcendental, closure scepticism, scepticism, minimal objectivity",3,Mind
213,45,"collective intention, collective, interactive knowledge, group, Read piece",3,Mind
214,46,"sequences, counterfactual, Lewis sequences, semantics, two worlds",5,Mind
215,47,"Humean, rotating, relation, subjunctive facts, atom creation",3,Mind
216,48,"species theoretical, theoretical reason, reason species, reason practical, cannot exist",2,Mind
217,50,"intuitions, philosophers, intuitive judgements, intuitions evidence, judgements thought",5,Mind
218,51,"core ideas, propositions, metaphysics propositions, singular general, propositions reflect",1,Mind
219,52,"It replace, type solution, solution satisfies, temporal parts, temporal",2,Mind
220,53,"assessment monitoring, debate, reactive attitudes, monitoring Audiences, possibility audiences",1,Mind
221,55,"nature knowledge, action, practical perceptual, practical entities, intuitions fringe",2,Mind
222,56,"Uniformity principle, sentence occasion, assertoric content, assertion, semantic content",1,Mind
223,57,"deflationary, logico linguistic, conservativeness, truth predicate, theorems",10,Mind
224,58,"metasemantic externalism, conceptual engineering, externalism, makes conceptual, engineering metasemantic",1,Mind
225,59,"Animals, Animal, counter arguments, NY, University",4,Mind
226,61,"conditional analysis, disposition, dispositional, manifestation, dispositional properties",9,Mind
227,62,"attitude reports, counterfactual attitude, propositional, attitudes, decision theory",3,Mind
228,63,"hallucinations, possibility hallucinations, perceptual experiences, hallucinations nature, denies hallucinations",1,Mind
229,64,"Descartes, doubt, Cartesian, intellect, Descartess",6,Mind
230,65,"self deceived, lying, intentional action, deception, deception masking",1,Mind
231,66,"Spinozas, bifurcation, Leibniz, scepticism, human beings",6,Mind
232,67,"self knowledge, self, knowledge, Heal, Brien",4,Mind
233,68,"cases ruled, well founded, inadequate principles, asserting grounding, literature characterized",1,Mind
234,70,"metaphysics, Metaphysics, science Sider, quantities, metaphysics science",3,Mind
235,71,"imperativism, affective phenomenal, imperative content, unpleasant, affective",4,Mind
236,72,"random sample, living person, thought experiment, Beauty, Sleeping",2,Mind
237,73,"objective chance, statistical mechanics, Humean, chance events, modal contingentism",4,Mind
238,74,"coherence, coherent, IGPs, relative overlap, probabilistic",7,Mind
239,75,"inferential rules, anti realist, intuitionistic, inconsistent triads, realist premiss",2,Mind
240,76,"general terms, rigidity, Kripkean conditions, two Kripkean, notion",3,Mind
241,77,"degree, physical modality, dispositional, properties, metaphysics",2,Mind
242,78,"consciousness, higher order, consciousness intrinsic, conscious state, theory consciousness",4,Mind
243,79,"Frege, truth predicate, metatheory, Frege metatheory, laws rules",7,Mind
244,80,"epistemic, toward modal, graded attitudes, epistemic modals, semantics",7,Mind
245,83,"maximalism, maximalists, truthmaker, non maximalists, something existence",1,Mind
246,84,"Frankfurt, Sartorio, Principle Alternate, Alternate Possibilities, Principle",1,Mind
247,85,"thinking actions, Pollocks Thinking, debate zombie, actions less, aim describing",2,Mind
248,87,"co cognition, co cognitivism, way thinking, canonically, self consciousness",2,Mind
249,88,"convention, truth convention, logic true, distinction, wrote",5,Mind
250,-1,"essay, book, one, truth, theory",137,Philosophical Review
251,0,"moral, political, Kant, book, normative",78,Philosophical Review
252,1,"credences, beliefs, essay, rational, epistemic",17,Philosophical Review
253,2,"mathematics, proofs, philosophy mathematics, philosophy, prime numbers",7,Philosophical Review
254,3,"descriptivism, definite, Ivan, Philosophy, view names",18,Philosophical Review
255,4,"desires, rationality, practical, view, normative",16,Philosophical Review
256,5,"environmentalism, cognizing organisms, skin cognizing, inside skin, situated",2,Philosophical Review
257,6,"modal, Chihara, mere possibilia, possible worlds, modal logic",4,Philosophical Review
258,7,"decision theory, theory, causal decision, essay, BT",8,Philosophical Review
259,8,"quantum, quantum theory, nomic vagueness, fundamental nomic, quantum mechanics",5,Philosophical Review
260,9,"Gödel, Time, temporal, Meets Einstein, linguisticsemantic",4,Philosophical Review
261,10,"clearest sensible, systems along, mathematics chaotic, treatment chaos, chaos theory",1,Philosophical Review
262,11,"demonstratives, meaning, context, phrases, semantic",10,Philosophical Review
263,12,"Bacon, Francis Bacon, successes, Farrington published, ceased",1,Philosophical Review
264,13,"causation, causal, causes, causal strength, Causation",8,Philosophical Review
265,14,"knowledge account, assertion, invariantism knowledge, contextualism speech, assertion endorsing",2,Philosophical Review
266,15,"realism, scientific, scientific realism, sciences, reach empirical",5,Philosophical Review
267,16,"perceptual, visual, perception, content, perceptual experience",11,Philosophical Review
268,17,"logic, apriority logic, formal structural, structural account, logical constants",4,Philosophical Review
269,18,"stuff, semicircles, portions stuff, whole, ultimate concrete",3,Philosophical Review
270,19,"moral responsibility, law, blame, controversial case, legal doctrines",6,Philosophical Review
271,20,"emotions, valence, perceptual valence, reasons love, She",7,Philosophical Review
272,21,"physicalism, consciousness, defi nition, phenomenal consciousness, Physicalist Manifesto",6,Philosophical Review
273,22,"borderline, vagueness, borderline cases, linguistic facts, Shapiro",3,Philosophical Review
274,23,"race, harassment, feminist, Africana, diaspora",6,Philosophical Review
275,24,"sensuous color, colour, colors relational, visually appears, property",5,Philosophical Review
276,25,"persistence, personal identity, ones persistence, psychological, psychological accounts",4,Philosophical Review
277,26,"characters, objects created, fictional objects, authors novels, becomes far",1,Philosophical Review
278,28,"disagreement, peer disagreement, evidential support, Equal Weight, evidential",4,Philosophical Review
279,29,"art, aesthetics, mass art, film, art What",7,Philosophical Review
280,30,"venture, fideism, faith beliefs, book, religious faith",10,Philosophical Review
281,31,"free, determinism, Simple Argument, Action Type, Type Argument",3,Philosophical Review
282,32,"Hume, Treatise, theory morality, mind, passions",7,Philosophical Review
283,33,"Wittgenstein, philosophy, Investigations, analytic, Brenner",11,Philosophical Review
284,34,"Kant, transcendental, Kants, idealism, sensibility",13,Philosophical Review
285,35,"knowledge, perception, Mind World, Evans view, sensitive knowledge",4,Philosophical Review
286,36,"Diachronic, indicative, indicative conditionals, Diachronic DBAs, suppositional test",5,Philosophical Review
287,37,"primary substance, substance Metaphysics, microscopica, ontology, organisms",3,Philosophical Review
288,38,"externalism, internalism, ideology cases, ideology, justification",2,Philosophical Review
289,39,"paradoxes, sentences, truth, linguistic accounts, linguistic",2,Philosophical Review
290,40,"mental causation, causation, dependency conception, causal redundancy, mental",2,Philosophical Review
291,41,"Plato, Socrates, Epictetus, Aquinas, book",35,Philosophical Review
292,43,"doxastic conflict, genuine knowledge, new interpretation, action unified, action Wang",1,Philosophical Review
293,44,"skepticism, ancient, ancient skepticism, reliabilism Greco, scope ancient",4,Philosophical Review
294,45,"usually classify, body deliberation, individuals contractually, made community, deliberation subject",2,Philosophical Review
295,46,"counterfactuals, history would, determinism, microphysical, However plasticity",2,Philosophical Review
296,47,"Lewis, Humean supervenience, laws, supervenience, instantiations",1,Philosophical Review
297,48,"gradability ascriptions, ascriptions know, intellectualism, knowledge, expressivists",2,Philosophical Review
298,49,"explanations, explanatory, narrative, explanatory force, examples",2,Philosophical Review
299,51,"propositions, structures sentences, sentences express, congenial concerned, simply definiteness",1,Philosophical Review
300,52,"persist, times exist, persist time, sense persist, familiar concrete",1,Philosophical Review
301,54,"core object, author argues, argues core, epistemic statuses, perception belief",1,Philosophical Review
302,55,"core features, intention, theory human, agency, essays",5,Philosophical Review
303,56,"knowledge account, proper assertions, assertions must, assertions, theory proper",1,Philosophical Review
304,57,"deflationism, deflationism Section, deflationist, essay argues, argues unsatisfactory",1,Philosophical Review
305,58,"relation bears, conceptual, lexical, concepts namely, annoyer",1,Philosophical Review
306,59,"fear, fear death, animals, harm, Epicurus",3,Philosophical Review
307,60,"diary, diary model, memory testimony, second psychological, psychological difference",2,Philosophical Review
308,61,"function pervasiveness, Progress nature, suitably general, concepts prevalent, anything illuminating",1,Philosophical Review
309,62,"verbs, propositional attitude, attitude verbs, proposition descriptions, complements propositional",2,Philosophical Review
310,63,"hallucination, developing algorithm, studies hallucination, detailed procedures, scheme type",1,Philosophical Review
311,64,"Descartes, Cartesian, Des Chene, Aristotle, Meditations",9,Philosophical Review
312,65,"lying, lying misleading, discourse, lie, discourse resulting",1,Philosophical Review
313,66,"Leibniz, God, metaphysics, Spinozas, incompossibility",14,Philosophical Review
314,67,"book Transparency, Byrnes book, Transparency Self, Self Knowledge, Transparency",1,Philosophical Review
