,Topic,Words,Frequency,Class
598,36,"Ramsey Test, Test, subjunctive, Import, links credence",6,Philosophy and Phenomenological Research
599,37,"ontological, ontology, objects, structural indeterminacy, thesis",16,Philosophy and Phenomenological Research
600,38,"externalism, internalism, internalists, content externalism, externalists",17,Philosophy and Phenomenological Research
601,39,"paradoxes, truth, truth teller, sentences, liar paradox",9,Philosophy and Phenomenological Research
602,40,"properties, causal, causation, physical, exclusion",9,Philosophy and Phenomenological Research
603,41,"Plato, Parmenides, Socrates, book, Aquinas",11,Philosophy and Phenomenological Research
604,43,"virtue, virtue epistemology, virtues, epistemology, versions virtue",9,Philosophy and Phenomenological Research
605,44,"skepticism, sceptical, scepticism, world, radical",17,Philosophy and Phenomenological Research
606,45,"Goldman, social epistemology, critical thinking, Alvin Goldman, groups",7,Philosophy and Phenomenological Research
607,46,"counterfactuals, counter entailment, project attempts, counterpossible, movies",4,Philosophy and Phenomenological Research
608,47,"Humean base, Supervenience Laws, Humean Supervenience, Laws Nature, Supervenience",7,Philosophy and Phenomenological Research
609,48,"knowledge, Brandom, propositional knowledge, intellectualism, Stanley",9,Philosophy and Phenomenological Research
610,49,"explanatory, explanations, layered structure, coincidences, structure dependence",5,Philosophy and Phenomenological Research
611,50,"epistemic intuitions, intuition, mindreading, expertise, Nagel",9,Philosophy and Phenomenological Research
612,51,"pleonastic, propositions, Things Mean, clauses, entities",5,Philosophy and Phenomenological Research
613,52,"persistence, wholly present, Four Dimensionalism, Dimensionalism, continuer",8,Philosophy and Phenomenological Research
614,53,"testimony, hearer, epistemology testimony, evidence, justification",13,Philosophy and Phenomenological Research
615,55,"agent knowledge, skilled activity, Human Action, justified perception, activity",3,Philosophy and Phenomenological Research
616,56,"assertion, dialectical model, dialectical, theory assurance, assertoric norms",3,Philosophy and Phenomenological Research
617,57,"deflationism, deflationary, deflationist, Deflationism, deflationists",5,Philosophy and Phenomenological Research
618,58,"conceptual, conceptual analysis, concepts, engineering, philosophical analysis",8,Philosophy and Phenomenological Research
619,59,"grief, death, rationality, meaningfulness, griefs rationality",6,Philosophy and Phenomenological Research
620,60,"memory, episodic, recollection, episodic recollection, remembering",9,Philosophy and Phenomenological Research
621,61,"causal bases, analysis dispositions, conditional analysis, dispositions intrinsic, bare dispositions",3,Philosophy and Phenomenological Research
622,62,"attitudes, cognitive relation, attitude reports, propositional attitudes, Theory",5,Philosophy and Phenomenological Research
623,63,"hallucination, naïve realism, realism, perception, experiences",12,Philosophy and Phenomenological Research
624,64,"Descartes, may object, Cartesian, Meditations, mind body",19,Philosophy and Phenomenological Research
625,65,"lying, deception, self deception, lie, deceive",7,Philosophy and Phenomenological Research
626,66,"Leibniz, substance, Curley, Spinozas, ontological",12,Philosophy and Phenomenological Research
627,67,"self knowledge, de se, uniquely de, critical reasoning, account self",6,Philosophy and Phenomenological Research
628,68,"QIG, metaphysical explanation, third claim, metaphysical, entity fundamental",4,Philosophy and Phenomenological Research
629,70,"metaphysics, metaphysical, science, book, sensed qualities",9,Philosophy and Phenomenological Research
630,71,"state affairs, pleasures, Chastity, phenomenological theories, affective",5,Philosophy and Phenomenological Research
631,72,"minimizing expected, belief temporal, Sleeping Beauty, Beauty problem, self locating",1,Philosophy and Phenomenological Research
632,73,"inverse form, chance, continuum, countable infinity, form NP",2,Philosophy and Phenomenological Research
633,74,"coherence, coherentism, coherentists, radical skepticism, scientific reasoning",3,Philosophy and Phenomenological Research
634,75,"sentential reference, plausibility depends, knowledge factive, mathematical theories, classical logic",1,Philosophy and Phenomenological Research
635,76,"red water, kind instances, instances constitute, constitute extension, designates kind",1,Philosophy and Phenomenological Research
636,77,"pure powers, essence, essentialists argue, Dispositional essentialists, primitivist theory",2,Philosophy and Phenomenological Research
637,78,"conscious, consciousness, Brentanos theory, subjective character, higher order",5,Philosophy and Phenomenological Research
638,79,"meaning platonist, platonist assumptions, platonist, Frege, Leibniz",1,Philosophy and Phenomenological Research
639,80,"truth conditional, modals, behavior modal, affect interpretation, modal vocabulary",1,Philosophy and Phenomenological Research
640,81,"luck, epistemic luck, epistemic, knowledge, knowledge lucky",3,Philosophy and Phenomenological Research
641,82,"Moore paradox, paradox, paradoxical proposition, Moore paradoxical, akratic belief",6,Philosophy and Phenomenological Research
642,84,"Frankfurt, PAP, morally responsible, done otherwise, deterministically",2,Philosophy and Phenomenological Research
643,85,"bodily, bodily awareness, bodily action, control, motor representations",5,Philosophy and Phenomenological Research
644,86,"compatibilists, compatibilist, determinism, compatibilism, moral responsibility",6,Philosophy and Phenomenological Research
645,87,"privilege, first person, person privilege, approach privilege, expressive",4,Philosophy and Phenomenological Research
646,88,"Quine, analyticity, Two Dogmas, deflationism, meaning",4,Philosophy and Phenomenological Research
647,-1,"argue, paper, theory, philosophy, account",84,Philosophers' Imprint
648,0,"normative, Kant, argue, paper, coercion",56,Philosophers' Imprint
649,1,"credences, belief, epistemic, accuracy, evidence",19,Philosophers' Imprint
650,2,"Hobbes, mathematics, Pythagoreanism, evolved numerical, civil philosophy",7,Philosophers' Imprint
651,4,"ought, best theorem, reason giving, vaccinate tomorrow, normative reason",16,Philosophers' Imprint
652,5,"representations He, motion body, Kant teleology, alive explains, teleology philosophy",1,Philosophers' Imprint
653,6,"modal, modality, metaphysical, modal realists, iterated modalities",11,Philosophers' Imprint
654,7,"decision theory, theory, expected utility, Jeffrey conditionalization, dominance",7,Philosophers' Imprint
655,8,"local version, physically possible, possible world, unaccelerated laboratories, say local",1,Philosophers' Imprint
656,9,"temporal, presentism, listening music, real change, temporal experiences",6,Philosophers' Imprint
657,10,"innateness also, machine like, distinction innate, caused factors, biological traits",2,Philosophers' Imprint
658,11,"Hobbes, film, demonstratives, conventions, pronouns",7,Philosophers' Imprint
659,12,"scientific, Mill, scientific knowledge, warrant scientific, method bias",4,Philosophers' Imprint
660,13,"causation, causal, flood, causal notions, chocolate",3,Philosophers' Imprint
661,14,"contextualism, taste, pattern, knowledge, skeptics knowledge",4,Philosophers' Imprint
662,15,"scientific realism, underdetermination, science objective, realism difficult, revisits bearing",1,Philosophers' Imprint
663,16,"spatiality, space, intuitions, transparency, experiences",2,Philosophers' Imprint
664,17,"classical logic, inferentialism, logic argue, English, tonk language",2,Philosophers' Imprint
665,18,"concepts solves, enriches space, compositional ampliative, frames paper, bulk discussion",1,Philosophers' Imprint
666,19,"responsibility, Strawson, moral responsibility, Resentment, mistakes fact",3,Philosophers' Imprint
667,20,"emotions, love, Buddhist, hiri, moods",6,Philosophers' Imprint
668,21,"physicalism, Conway, created substances, original peculiar, ground physicalism",3,Philosophers' Imprint
669,22,"vagueness, unclarity, order vagueness, vague objects, borderline cases",3,Philosophers' Imprint
670,23,"gender, sexual orientation, genderqueer, epistemic injustice, misandrogyny",5,Philosophers' Imprint
671,24,"colour, constant colour, color mind, shape color, constancy cases",2,Philosophers' Imprint
672,25,"intuitive verdicts, personhood, identity, organisms, distinctions",2,Philosophers' Imprint
673,26,"imagination, Zhuangzi, fiction, imaginative, fictional",5,Philosophers' Imprint
674,27,"closure, ordinary practice, epistemic closure, closure principle, closed known",1,Philosophers' Imprint
675,28,"peer disagreement, peers, conciliatory, peer review, evidence",7,Philosophers' Imprint
676,29,"aesthetic, arts, art, process arts, beauty",5,Philosophers' Imprint
677,30,"pluralistic hypothesis, conception God, religious faith, faith, epistemically permissible",1,Philosophers' Imprint
678,31,"choice, freewill, Cudworth, judgements best, libertarian account",3,Philosophers' Imprint
679,32,"Hume, induction, Treatise, inductive inferences, Aristotles",7,Philosophers' Imprint
680,33,"Wittgenstein, esoteric exoteric, Russells views, Leibniz, esoteric mode",3,Philosophers' Imprint
681,34,"Kant, transcendental, aesthetic autonomy, idealism, appearances",15,Philosophers' Imprint
682,35,"beliefs, known illusions, problem known, perceptual beliefs, illusions",2,Philosophers' Imprint
683,36,"conditionals, kinds conditionals, expressivistic, If Oswald, subjunctives",3,Philosophers' Imprint
684,37,"exist others, exist, exist degree, fundamentality perfect, naturalness grounding",1,Philosophers' Imprint
685,39,"Liar reasoning, context shift, Charles, paradox, principles arithmetic",1,Philosophers' Imprint
686,40,"causal work, dispositions components, exclusion problem, mental properties, relations",1,Philosophers' Imprint
687,41,"Stoics, Plato, Aquinas, Socrates, virtue",8,Philosophers' Imprint
688,44,"skepticism, problematics, circular reasoning, justification believe, rejection closure",3,Philosophers' Imprint
689,46,"counterfactual support, counterfactual, physically contingent, counterfactuals, contingent generalizations",2,Philosophers' Imprint
690,47,"primitive laws, explain uniformity, governing laws, primitives, Within Physics",1,Philosophers' Imprint
691,48,"practical senses, practical, modes presentation, semantic values, distinctively",1,Philosophers' Imprint
692,49,"possibly explanation, imaginative frustration, something possible, state affairs, ordinary life",2,Philosophers' Imprint
693,50,"non Westerners, Westerners view, say obvious, laypeople tend, Gettier subject",1,Philosophers' Imprint
694,52,"temporal parts, nothing endures, proper temporal, material entities, exert operate",3,Philosophers' Imprint
695,53,"testimony, recordings, assurance, testimonial, testimonial practices",3,Philosophers' Imprint
696,54,"form learning, learning, angle water, training acquisition, posed query",1,Philosophers' Imprint
697,55,"basic action, Anscombes, practical, observational knowledge, without observation",3,Philosophers' Imprint
698,57,"truth claim, theories truth, clarification debate, due influence, rival inflationary",1,Philosophers' Imprint
699,59,"grief, death, diminution grief, reason grief, life meaning",4,Philosophers' Imprint
700,60,"remembering, memory, role imagery, imagery remembering, sometimes recall",1,Philosophers' Imprint
701,62,"clause, facto coordination, fine grained, de facto, notion content",2,Philosophers' Imprint
702,63,"external entities, perception, hallucination, naïve account, experience phenomenally",3,Philosophers' Imprint
703,64,"Descartes, clarity, mind body, argue Descartes, consciousness",7,Philosophers' Imprint
704,65,"lying, philosophical definition, deceive, bank robber, robber You",2,Philosophers' Imprint
705,66,"Spinozas, human minds, Leibnizs, monads, metaphysics",8,Philosophers' Imprint
706,67,"conscious belief, self knowledge, self blindness, psychological states, person psychological",2,Philosophers' Imprint
707,68,"layered structure, explanations, plural grounding, collapse, grounding explanations",2,Philosophers' Imprint
708,69,"models phenomena, inferences models, demonstrated approximately, stability epistemological, Despite little",1,Philosophers' Imprint
709,70,"issue whether, metaphysics, fundamentality question, engagement putative, putative facts",2,Philosophers' Imprint
710,73,"chance, synchronic, mathematical representation, infinitesimals, robustly best",3,Philosophers' Imprint
711,76,"cp laws, rigidity, general terms, proposal, new grounds",4,Philosophers' Imprint
712,77,"worlds talk, modal semantics, Humean view, dispositional, metaphysics",2,Philosophers' Imprint
713,79,"loaded counterparts, properties propositions, statements explicitly, counterparts, semantic puzzles",1,Philosophers' Imprint
714,80,"modal, context, polysemy, challenge cases, modal auxiliaries",3,Philosophers' Imprint
715,85,"bodily, inner experience, emotions tactile, bodily experience, tactile experiences",1,Philosophers' Imprint
716,86,"meet compatibilist, compatibilist conditions, manipulated agents, manipulators, manipulation",1,Philosophers' Imprint
717,87,"self, self ascriptions, misidentification, immunity, Immunity Thesis",3,Philosophers' Imprint
718,88,"Quine, eight categories, dichotomy, categories, naturalism",3,Philosophers' Imprint
719,-1,"argue, paper, account, view, knowledge",752,Philosophical Studies
720,0,"normative, argue, morality, morally, view",414,Philosophical Studies
721,1,"belief, epistemic, beliefs, justification, evidence",162,Philosophical Studies
722,2,"mathematical, numbers, mathematics, Countabilism, ante rem",30,Philosophical Studies
723,3,"names, proper names, Philosophy, Kripke, Millianism",58,Philosophical Studies
724,4,"reasons, ought, desire, rationality, practical",112,Philosophical Studies
725,5,"cognitive, cognition, cognitive science, mind, computational",20,Philosophical Studies
726,6,"modality, possible worlds, necessity, metaphysical, essence",61,Philosophical Studies
727,7,"decision theory, options, choice, expected utility, choiceworthiness",31,Philosophical Studies
728,8,"quantum, QMI, spacetime, quantum mechanics, fundamental",10,Philosophical Studies
729,9,"time, temporal, presentism, past, times",47,Philosophical Studies
730,10,"kinds, selection, natural kinds, social kinds, emergence",16,Philosophical Studies
731,11,"context, demonstratives, indexicals, utterance, linguistic",63,Philosophical Studies
732,12,"philosophy science, severity, social, values, research",14,Philosophical Studies
733,13,"causation, causal, causes, actual causation, cause effect",32,Philosophical Studies
734,14,"contextualism, knowledge, context, contextualist, relativism",49,Philosophical Studies
735,15,"scientific, realism, scientific realism, theories, science",12,Philosophical Studies
736,16,"perceptual, seeing, visual, perceptual experience, perception",36,Philosophical Studies
737,17,"logic, Implicit Definition, Hempel, classical logic, Definition cannot",12,Philosophical Studies
738,18,"statue, composition, mereological, objects, simples",39,Philosophical Studies
739,19,"responsibility, responsible, moral responsibility, morally responsible, control",64,Philosophical Studies
740,20,"emotions, emotion, evaluative, affective, disgust",30,Philosophical Studies
741,21,"physicalism, consciousness, dualism, conceivability, materialism",46,Philosophical Studies
742,22,"vagueness, theory vagueness, semantic, indeterminacy, argument",21,Philosophical Studies
743,23,"feminist, social, racial, gender, groups",41,Philosophical Studies
744,24,"colour, color experiences, colours, objects, experiences",28,Philosophical Studies
745,25,"personal identity, animalism, persons, fission, psychological",31,Philosophical Studies
746,26,"fiction, imagination, fictionalism, imaginative, fictional characters",31,Philosophical Studies
747,27,"closure, knowledge, fallibilism, single premise, premise closure",29,Philosophical Studies
748,28,"disagreement, peer disagreement, epistemic, expert, epistemology disagreement",18,Philosophical Studies
749,29,"aesthetic, art, artistic, beauty, appreciation",15,Philosophical Studies
750,30,"best world, theism, best, God, ability based",4,Philosophical Studies
751,31,"free, libertarianism, causal, agent causal, action",33,Philosophical Studies
752,32,"Hume, induction, Humes, inferences, Treatise",11,Philosophical Studies
753,33,"Wittgenstein, Kripke Wittgenstein, meaning sentences, rule following, judgments",6,Philosophical Studies
754,34,"Kant, Deduction, existential judgment, judgment Kant, Kantian",12,Philosophical Studies
755,35,"perceptual justification, perception, perceptual beliefs, justificatory, perceptual experiences",22,Philosophical Studies
756,36,"indicative conditionals, subjunctive, subjunctive conditionals, epistemic modals, semantics",12,Philosophical Studies
757,37,"ontological, ontology, metaontological, Razor, ontological disputes",14,Philosophical Studies
758,38,"externalism, internalism, justification, dilemma, Bergmann",20,Philosophical Studies
759,39,"Liar, revenge, solution, liar paradox, semantic paradoxes",13,Philosophical Studies
760,40,"realization, causation, mental causation, causal powers, mental properties",20,Philosophical Studies
761,41,"Plato, Socrates, Parmenides, Platonic, greatest good",6,Philosophical Studies
762,43,"virtue, virtues, virtue epistemology, epistemology, responsibilist",24,Philosophical Studies
763,44,"skepticism, simpliciter skepticism, BIV, good, external world",12,Philosophical Studies
764,45,"collective, intentions, joint intention, agency, modest sociality",14,Philosophical Studies
765,46,"counterfactuals, counterfactual, semantics, counterpossibles, Lewis",17,Philosophical Studies
766,47,"Humeanism, laws nature, metaphysical, Humean Supervenience, circularity",16,Philosophical Studies
767,48,"knowledge, propositional knowledge, practical knowledge, intellectualism, ability",14,Philosophical Studies
768,49,"explanations, explanatory, explanatory realism, counterfactual, logical impossibilities",14,Philosophical Studies
769,50,"intuitions, philosophy, Cappelen, philosophical, experimental philosophy",23,Philosophical Studies
770,51,"propositions, structured, unity proposition, predicate abstraction, structured concepts",14,Philosophical Studies
771,52,"dimensionalism, four dimensionalism, temporal, endurantism, objects",15,Philosophical Studies
772,53,"testimony, epistemology testimony, testimonial knowledge, source testimony, testimonial belief",13,Philosophical Studies
773,54,"mindreading, Goldman, mind, cognitive, mind reading",10,Philosophical Studies
774,55,"actions, intentions, agential, agency, passive action",18,Philosophical Studies
775,56,"knowledge account, speech, assertions, speech act, knowledge",15,Philosophical Studies
776,57,"deflationism, deflationary, practical success, language, theories truth",15,Philosophical Studies
777,58,"conceptual, engineering, conceptual engineering, conceptual analysis, concepts",12,Philosophical Studies
778,59,"animals, animal, lives, mortality, human",22,Philosophical Studies
779,60,"memory, episodic, memory beliefs, memory traces, Bernecker",12,Philosophical Studies
780,61,"disposition, dispositional, conditional analysis, condition dispositional, dispositional analyses",10,Philosophical Studies
781,62,"attitude reports, belief, Superman, belief ascriptions, Kent",15,Philosophical Studies
782,63,"perceptual, hallucination, perception, naïve realism, realism",23,Philosophical Studies
783,64,"Descartes, Teresa, Meditations, meditative, fact Descartes",3,Philosophical Studies
784,65,"deception, lying, self deception, lie, deceive",12,Philosophical Studies
785,66,"Spinoza, Leibniz, constructivism, metaphysical idealism, forms believes",4,Philosophical Studies
786,67,"self knowledge, self, knowledge, introspection, beliefs",13,Philosophical Studies
787,68,"grounds, metaphysical, grounding laws, arbitrary grounding, metaphysical explanation",14,Philosophical Studies
788,69,"fictions, views treat, treat model, ontological problems, world relations",3,Philosophical Studies
789,70,"metaphysics, metaphysical, subject matter, matter metaphysics, empirical claims",11,Philosophical Studies
790,71,"unpleasantness, felt quality, hybrid theories, content, bodily",14,Philosophical Studies
791,72,"Beauty, Sleeping, Sleeping Beauty, Elga, Beauty puzzle",6,Philosophical Studies
792,73,"probability, deterministic chance, deterministic, nature probability, essential formal",3,Philosophical Studies
793,74,"coherence, individual credibility, Bovens Hartmann, information, credibility",5,Philosophical Studies
794,75,"knowability, position know, Fitch, factiveness, truths knowable",8,Philosophical Studies
795,76,"kind terms, rigidity, general terms, natural kind, term",20,Philosophical Studies
796,77,"dispositional, fundamental properties, roles, powers, austere quidditism",11,Philosophical Studies
797,78,"consciousness, higher order, higher, Kriegel, states",17,Philosophical Studies
798,79,"Frege, Fregean, predication, Fregean senses, Pragmatism",8,Philosophical Studies
799,80,"epistemic modals, epistemic, modal, Yalcin, logic",11,Philosophical Studies
800,81,"luck, moral luck, luck scenario, anti luck, circumstantial",7,Philosophical Studies
801,82,"absurdity, Moore Paradox, belief, raining, self evident",15,Philosophical Studies
802,83,"truthmaking, truthmakers, negative truths, truthmaker theory, truthmaker principle",10,Philosophical Studies
803,84,"Frankfurt, PAP, alternative possibilities, agent, cases",22,Philosophical Studies
804,85,"sensory, control, motor control, sensory modalities, automatic",3,Philosophical Studies
805,86,"manipulation, responsibility, compatibilist, moral responsibility, compatibilism",20,Philosophical Studies
806,87,"self, self ascriptions, first person, person pronoun, thought insertion",6,Philosophical Studies
807,88,"analyticity, analytic, discussion Quine, distinction, successor",6,Philosophical Studies
808,-1,"paper, one, epistemic, logic, knowledge",1577,Synthese
809,0,"moral, normative, justice, social, argue",114,Synthese
810,1,"belief, epistemic, evidence, Bayesian, justification",285,Synthese
811,2,"proofs, numbers, diagrams, theory, geometry",270,Synthese
812,3,"names, proper names, Philosophy, connotative, attributive",44,Synthese
813,4,"ought, normative, rationality, desires, agent",51,Synthese
814,5,"cognition, neuroscience, neural, computational, mechanistic",215,Synthese
815,6,"modal, modality, necessity, possible worlds, metaphysical",79,Synthese
816,7,"decision theory, theory, game, rationality, causal decision",124,Synthese
817,8,"quantum, quantum mechanics, spacetime, physics, relativity",200,Synthese
818,9,"time, temporal, theory time, presentism, Prior",61,Synthese
819,10,"biological, biology, emergence, natural kinds, evolutionary",138,Synthese
820,11,"meaning, context, linguistic, semantic, speaker",63,Synthese
821,12,"scientific, research, social, philosophy science, scientists",163,Synthese
822,13,"causal, causation, interventionist, variables, causality",75,Synthese
823,14,"contextualism, knowledge, relativism, epistemic, semantic",44,Synthese
824,15,"scientific realism, Kuhn, scientific theories, scientists, success",128,Synthese
825,16,"perceptual, visual, experience, content, spatial",35,Synthese
826,17,"consequence, logics, validity, semantics, classical logic",102,Synthese
827,18,"mereological, composition, CAI, parthood, universals",39,Synthese
828,19,"responsibility, blameworthy, innovators, moral responsibility, AISs",6,Synthese
829,20,"emotions, emotion, affective, emotional, evaluative",33,Synthese
830,21,"physicalism, physical, consciousness, supervenience, physicalists",30,Synthese
831,22,"vagueness, order vagueness, predicates, vague predicates, fuzzy",37,Synthese
832,23,"implicit, implicit bias, statistical evidence, racial, gender",40,Synthese
833,24,"colours, perception, hues, color experience, objects",18,Synthese
834,25,"identity, personal identity, persons, fission, survival",16,Synthese
835,26,"imagination, fiction, imaginative, imagery, fictionalism",34,Synthese
836,27,"closure, knowledge, warrant, belief, infallibilism",34,Synthese
837,28,"disagreement, epistemic, peer disagreement, peers, evidence",55,Synthese
838,29,"aesthetic, art, Poincaré, training, aesthetic judgements",6,Synthese
839,30,"God, omnipotent, Prior, Himself, diary entry",7,Synthese
840,31,"libertarianism, agent causal, control, freedom, causal libertarianism",15,Synthese
841,32,"Hume, induction, Humes, Treatise, inductive logic",26,Synthese
842,33,"Wittgenstein, Investigations, philosophy, philosophical pictures, rule following",29,Synthese
843,34,"Kant, Kants, transcendental logic, intuitions, reading",14,Synthese
844,35,"beliefs, perception, phenomenology, perceptual experiences, perceptual beliefs",22,Synthese
845,36,"conditionals, indicative, subjunctive, indicative conditionals, subjunctive conditionals",20,Synthese
846,37,"ontological, ontology, parsimony, ideological, structuralist approach",20,Synthese
847,38,"externalism, internalism, content externalism, externalist, externalists",19,Synthese
848,39,"paradoxes, truth, self referential, liar paradox, Horwich",21,Synthese
849,40,"causation, mental causation, argument, mental physical, causal powers",24,Synthese
850,41,"Plato, adjectives, value, Neoplatonists Most, terms Platonically",1,Synthese
851,42,"dynamic, logics, agents, epistemic logic, dynamic epistemic",84,Synthese
852,43,"virtue, intellectual, virtue epistemology, virtues, intellectual virtues",31,Synthese
853,44,"skepticism, scepticism, sceptical, skeptic, external world",18,Synthese
854,45,"social, groups, individual, beliefs, social epistemology",38,Synthese
855,46,"counterfactuals, counterfactual, similarity, counterpossibles, consequent",25,Synthese
856,47,"Humeanism, laws nature, Lewis, scientific, fundamental properties",25,Synthese
857,48,"knowledge, propositional knowledge, intellectualism, ability, action",27,Synthese
858,49,"explanations, explanatory, unification, non causal, causal explanation",43,Synthese
859,50,"intuitions, philosophical, philosophy, philosophers, experimental philosophy",22,Synthese
860,51,"propositions, structured, Hanks, entities, structured propositions",32,Synthese
861,52,"endurantism, Four, Four Dimensionalism, temporary intrinsics, temporal",8,Synthese
862,53,"testimony, knowledge, testimonial knowledge, gossip, speaker",27,Synthese
863,54,"mindreading, children, theory mind, empathy, mind",52,Synthese
864,55,"KAT, agency, intentional agency, intention, kind action",10,Synthese
865,56,"assertion, knowledge, assertions, assert, account assertion",21,Synthese
866,57,"deflationism, deflationary, deflationists, deflationism truth, conservativeness",16,Synthese
867,58,"engineering, conceptual engineering, concepts, conceptual analysis, analysis",33,Synthese
868,59,"animals, existential dread, existential, suffering, speciesist belief",3,Synthese
869,60,"memory, episodic, episodic memory, memories, epistemic conservatism",28,Synthese
870,61,"disposition, dispositional, analysis dispositions, conditional, fragile",15,Synthese
871,62,"Relation Theory, Multiple, believes, Theory, Schiffer puzzle",14,Synthese
872,63,"hallucination, perception, realism, hallucinations, naïve realism",9,Synthese
873,64,"Descartes, sensations, III, teleological account, Meditations",7,Synthese
874,65,"lying, deception, lie, lies, deceive",12,Synthese
875,66,"substance, attributes, Bradley, Philosophy Leibniz, 2d2",2,Synthese
876,67,"self knowledge, self, transparency, knowledge, introspection",11,Synthese
877,68,"ground, ground theoretic, fundamentality, metaphysical, theoretic",21,Synthese
878,69,"scientific, scientific models, scientific representation, representational, practice",51,Synthese
879,70,"metaphysics, science, metaphysics science, cosmology, metaphysical",12,Synthese
880,71,"eliminativism pain, scientific eliminativism, orgasm, description explanation, empirical findings",7,Synthese
881,72,"Sleeping, Sleeping Beauty, Beauty problem, Dutch book, heads",23,Synthese
882,73,"chance, probabilities, PD, stochastic, frequentism",26,Synthese
883,74,"coherence, measures coherence, degree coherence, coherence measures, coherent",28,Synthese
884,75,"knowability, knowability principle, truths, knowable, Fitch paradox",21,Synthese
885,76,"kind terms, rigidity, natural kind, term, general terms",9,Synthese
886,77,"dispositional, dispositional essentialism, essentialism, metaphysics, natural properties",16,Synthese
887,78,"conscious, higher order, higher, consciousness, Neo Brentanian",7,Synthese
888,79,"Frege, thought, provisos, sentences, predicate",13,Synthese
889,80,"permission, choice permission, wide scope, epistemic modals, scope requirements",7,Synthese
890,81,"luck, anti luck, epistemic luck, epistemology, luck epistemology",26,Synthese
891,82,"Moore, beliefs, Moorean beliefs, irrationality, Mooreanism",8,Synthese
892,83,"negative truths, truthmakers, truthmaker theory, truthmaking, truthmaker maximalism",11,Synthese
893,84,"Frankfurt cases, horn dilemma, counterexamples, alternative possibilities, Philos",1,Synthese
894,85,"control, self control, actions, skills, motor control",18,Synthese
895,86,"Direct Argument, Argument pose, debate fruitful, debate Fischer, By hope",1,Synthese
896,87,"first person, misidentification, multiple others, IEM, gestalt",6,Synthese
897,88,"analyticity, distinction, Bolzano, analyticsynthetic distinction, conventionalism",11,Synthese
